-3.16777e-06i + 2.38237e-06j + -1.91986e-06k + 1
1.72788e-06i + 1.50098e-06j + -5.70723e-06k + 1
-4.34587e-06i + 6.01266e-06j + -6.65843e-06k + 1
2.64417e-06i + -2.3562e-07j + -7.71435e-06k + 1
1.9984e-06i + 3.57793e-06j + -1.98095e-06k + 1
-3.31613e-07i + 2.92343e-06j + -1.40499e-06k + 1
-7.02495e-06i + 4.08407e-06j + -1.38754e-06k + 1
-1.90241e-06i + 5.58506e-07j + -9.84366e-06k + 1
-6.17847e-06i + 6.02139e-07j + -9.52077e-06k + 1
-5.00859e-06i + 7.73976e-06j + -3.76081e-06k + 1
2.79253e-07i + 4.14516e-06j + -5.53269e-06k + 1
-7.41765e-07i + 5.55015e-06j + -2.522e-06k + 1
-2.16421e-06i + -1.87623e-06j + -2.1293e-06k + 1
6.98132e-07i + -4.15388e-06j + -4.04916e-06k + 1
5.00037e-06i + 3.90081e-06j + -3.88336e-06k + 1
4.84329e-06i + 6.95514e-06j + -1.62316e-06k + 1
4.01426e-07i + 3.735e-06j + -3.57793e-07k + 1
-1.5708e-06i + 3.23759e-06j + 1.54462e-06k + 1
-3.63028e-06i + 6.19592e-07j + -5.49779e-06k + 1
-2.86234e-06i + 7.33038e-07j + -3.51684e-06k + 1
-3.90081e-06i + 1.213e-06j + -4.52913e-06k + 1
-4.41612e-06i + 4.1543e-06j + -1.35277e-06k + 1
2.04204e-06i + 3.49066e-07j + -3.95317e-06k + 1
3.06305e-06i + -2.79253e-07j + -4.26733e-06k + 1
-2.0944e-07i + -1.39626e-07j + -3.29867e-06k + 1
-6.10865e-07i + 1.87623e-06j + -5.00037e-06k + 1
-5.67232e-07i + -7.76672e-07j + -1.48353e-06k + 1
-6.28318e-07i + 3.51684e-06j + -1.78024e-06k + 1
-8.50848e-06i + 4.19752e-06j + -4.03171e-06k + 1
-3.66519e-07i + 4.7473e-06j + -2.15548e-06k + 1
-2.48709e-06i + 1.66679e-06j + -1.23046e-06k + 1
1.20428e-06i + 5.08763e-06j + -2.05949e-06k + 1
-1.71042e-06i + 5.84685e-07j + -2.68781e-06k + 1
-4.72112e-06i + 3.13287e-06j + -4.9131e-06k + 1
1.93732e-06i + 5.06145e-07j + 8.11578e-07k + 1
1.05582e-06i + 4.37161e-06j + -3.49904e-06k + 1
-1.89387e-06i + 8.46569e-07j + -9.44318e-06k + 1
-2.60028e-06i + 1.50083e-06j + -5.10458e-06k + 1
-2.82772e-06i + 5.24524e-06j + -1.05603e-05k + 1
-1.50956e-06i + 1.14308e-06j + -3.88297e-06k + 1
2.81026e-06i + -2.74044e-06j + -3.62192e-06k + 1
8.62106e-06i + -1.05146e-05j + -5.10458e-06k + 1
-1.13283e-05i + -5.90853e-06j + -2.26479e-05k + 1
5.43616e-06i + -1.81845e-05j + -9.40202e-05k + 1
7.79367e-06i + -2.26305e-05j + 4.75039e-05k + 1
-8.90029e-06i + 1.68233e-05j + 1.82107e-05k + 1
-7.27002e-06i + 2.18886e-05j + -1.9986e-05k + 1
-1.04448e-05i + -2.87078e-06j + 1.76348e-05k + 1
-9.94937e-06i + 9.96683e-06j + -2.90277e-05k + 1
